##Falco	1.3.0
>>Basic Statistics	pass
#Measure	Value
Filename	forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8802179
Total Bases	1320 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	56.5
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	8	-0.0109839681952124
1103	9	0.0240622720096795
1103	10	-0.110882005456205
1103	11	0.0648705424123577
1103	12	-0.0666701732035122
1103	13	0.0160869175386367
1103	14	-0.131078489723471
1103	15	-0.178593353316636
1103	16	-0.0132671615236433
1103	17	-0.152564803851831
1103	18	0.0117182091841883
1103	19	-0.038063687287277
1103	20	0.0497383487813678
1103	21	-0.0168021514894861
1103	22	-0.0954485011259081
1103	23	-0.10897183003771
1103	24	-0.0688126455190456
1103	25	-0.0134551001550918
1103	26	-0.0413133802068089
1103	27	-0.257983287898981
1103	28	-0.0804623323522478
1103	29	0.019424210054602
1103	30	-0.104065001670548
1103	31	-0.0765062516050392
1103	32	-0.131646422320152
1103	33	-0.150792075231827
1103	34	-0.0472909596629307
1103	35	0.01330492030052
1103	36	-0.0420784613597149
1103	37	-0.0339402067429617
1103	38	-0.0779249757357121
1103	39	-0.0992576889979304
1103	40	-0.0579080435155745
1103	41	-0.0110451379243415
1103	42	-0.0322944767947035
1103	43	-0.0266099618682318
1103	44	-0.0678247199282893
1103	45	-0.00637861008947027
1103	46	-0.221892822209696
1103	47	-0.0829209801729149
1103	48	0.0356490849904674
1103	49	-0.181444236707343
1103	50	-0.296038014178357
1103	51	-0.0695858451919236
1103	52	-0.0173803854157555
1103	53	-0.0406448341282939
1103	54	-0.107830731207272
1103	55	-0.186080045645483
1103	56	-0.143777616530699
1103	57	-0.151845434051182
1103	58	-0.0766693304602981
1103	59	-0.0198916695840978
1103	60	-0.100318955715288
1103	61	0.0317182852634019
1103	62	-0.0085458145314945
1103	63	0.0529934987249447
1103	64	-0.074424374595047
1103	65	-0.0814847297404668
1103	66	0.0956637759374246
1103	67	0.0639470607651589
1103	68	0.0266572816065107
1103	69	-0.0865209502109821
1103	70	-0.0733092397105608
1103	71	-0.0981390118346894
1103	72	-0.0187303510435299
1103	73	-0.0378760613975544
1103	74	-0.0155511526626171
1103	75	-0.0634394554096858
1103	76	-0.0367374198235453
1103	77	-0.113652635489863
1103	78	-0.0188820243994243
1103	79	-0.222759455069621
1103	80	-0.151171341593852
1103	81	-0.154334692266346
1103	82	-0.227976899798136
1103	83	-0.183778547352205
1103	84	-0.1592587150461
